QID,title,titleSlug,difficulty,acceptanceRate,paidOnly,topicTags,categorySlug
1,Two Sum,two-sum,Easy,51.76576548830185,False,"array,hash-table",algorithms
2,Add Two Numbers,add-two-numbers,Medium,42.17939747712114,False,"linked-list,math,recursion",algorithms
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,Medium,34.44758462739237,False,"hash-table,string,sliding-window",algorithms
4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,Hard,39.206240605553674,False,"array,binary-search,divide-and-conquer",algorithms
5,Longest Palindromic Substring,longest-palindromic-substring,Medium,33.551575408102764,False,"string,dynamic-programming",algorithms
6,Zigzag Conversion,zigzag-conversion,Medium,47.16607792166217,False,string,algorithms
7,Reverse Integer,reverse-integer,Medium,28.30257281686205,False,math,algorithms
8,String to Integer (atoi),string-to-integer-atoi,Medium,17.047146829493247,False,string,algorithms
9,Palindrome Number,palindrome-number,Easy,55.53142086239844,False,math,algorithms
10,Regular Expression Matching,regular-expression-matching,Hard,28.063346852117334,False,"string,dynamic-programming,recursion",algorithms
11,Container With Most Water,container-with-most-water,Medium,54.76069310929833,False,"array,two-pointers,greedy",algorithms
12,Integer to Roman,integer-to-roman,Medium,64.12189808003745,False,"hash-table,math,string",algorithms
13,Roman to Integer,roman-to-integer,Easy,60.54577123638663,False,"hash-table,math,string",algorithms
14,Longest Common Prefix,longest-common-prefix,Easy,42.28104595135831,False,"string,trie",algorithms
15,3Sum,3sum,Medium,34.080383098823184,False,"array,two-pointers,sorting",algorithms
16,3Sum Closest,3sum-closest,Medium,45.66954161966747,False,"array,two-pointers,sorting",algorithms
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,Medium,59.758770140666165,False,"hash-table,string,backtracking",algorithms
18,4Sum,4sum,Medium,36.06264809888097,False,"array,two-pointers,sorting",algorithms
19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,Medium,43.751513796675624,False,"linked-list,two-pointers",algorithms
20,Valid Parentheses,valid-parentheses,Easy,40.3972764895013,False,"string,stack",algorithms
21,Merge Two Sorted Lists,merge-two-sorted-lists,Easy,63.8344637139069,False,"linked-list,recursion",algorithms
22,Generate Parentheses,generate-parentheses,Medium,74.0859570166867,False,"string,dynamic-programming,backtracking",algorithms
23,Merge k Sorted Lists,merge-k-sorted-lists,Hard,51.99830890720598,False,"linked-list,divide-and-conquer,heap-priority-queue,merge-sort",algorithms
24,Swap Nodes in Pairs,swap-nodes-in-pairs,Medium,63.8343473315509,False,"linked-list,recursion",algorithms
25,Reverse Nodes in k-Group,reverse-nodes-in-k-group,Hard,57.81673284220571,False,"linked-list,recursion",algorithms
26,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,Easy,54.63038912788697,False,"array,two-pointers",algorithms
27,Remove Element,remove-element,Easy,55.92200655059323,False,"array,two-pointers",algorithms
28,Find the Index of the First Occurrence in a String,find-the-index-of-the-first-occurrence-in-a-string,Easy,41.63505868608037,False,"two-pointers,string,string-matching",algorithms
29,Divide Two Integers,divide-two-integers,Medium,17.237767150795456,False,"math,bit-manipulation",algorithms
30,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,Hard,32.0232315328431,False,"hash-table,string,sliding-window",algorithms
31,Next Permutation,next-permutation,Medium,39.31627928875218,False,"array,two-pointers",algorithms
32,Longest Valid Parentheses,longest-valid-parentheses,Hard,33.68405124972773,False,"string,dynamic-programming,stack",algorithms
33,Search in Rotated Sorted Array,search-in-rotated-sorted-array,Medium,40.3922396488007,False,"array,binary-search",algorithms
34,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,Medium,43.8627864715185,False,"array,binary-search",algorithms
35,Search Insert Position,search-insert-position,Easy,45.278595621127884,False,"array,binary-search",algorithms
36,Valid Sudoku,valid-sudoku,Medium,59.22722943412282,False,"array,hash-table,matrix",algorithms
37,Sudoku Solver,sudoku-solver,Hard,60.22590951479668,False,"array,hash-table,backtracking,matrix",algorithms
38,Count and Say,count-and-say,Medium,54.2586065882173,False,string,algorithms
39,Combination Sum,combination-sum,Medium,70.82704772640618,False,"array,backtracking",algorithms
40,Combination Sum II,combination-sum-ii,Medium,54.12406471285929,False,"array,backtracking",algorithms
41,First Missing Positive,first-missing-positive,Hard,37.68191634867511,False,"array,hash-table",algorithms
42,Trapping Rain Water,trapping-rain-water,Hard,60.61894209649661,False,"array,two-pointers,dynamic-programming,stack,monotonic-stack",algorithms
43,Multiply Strings,multiply-strings,Medium,39.9577616886813,False,"math,string,simulation",algorithms
44,Wildcard Matching,wildcard-matching,Hard,27.576528410538835,False,"string,dynamic-programming,greedy,recursion",algorithms
